Temp,RPM,pH,Replicate,GrowthCurves,GDGT.0,GDGT.1,GDGT.2,GDGT.3,GDGT.4,GDGT.5,GDGT.6,GDGT.7,GDGT.8,RI
58,NA,0.3,OD1,"list(1411662600, 1411740000, 1411859700, 1411983900, 1412010900, 1412071200, 1412100000, 1412163000) / list(0.013, 0.032, 0.237, 0.667, 0.702, 0.805, 0.797, 0.782)",,,,,,,,,,
58,NA,0.3,OD2,"list(1411662600, 1411740000, 1411859700, 1411983900, 1412010900, 1412071200, 1412100000, 1412163000) / list(0.016, 0.039, 0.238, 0.636, 0.671, 0.761, 0.783, 0.775)",22.78,5.842,28.698,8.648,22.601,9.578,1.528,0.286,0.039,2.389576922
58,NA,0.3,OD3,"list(1411662600, 1411740000, 1411859700, 1411983900, 1412010900, 1412071200, 1412100000, 1412163000) / list(0.017, 0.035, 0.244, 0.661, 0.704, 0.777, 0.799, 0.783)",20.68,5.691,25.694,9.135,25.862,10.816,1.764,0.316,0.043,2.551515884
58,NA,0.5,OD1,"list(1410180300, 1410201000, 1410255900, 1410277500, 1410342300, 1410367500, 1410431400, 1410453900, 1410518700, 1410540300, 1410625800, 1410773400) / list(0.017, 0.022, 0.042, 0.052, 0.155, 0.232, 0.511, 0.583, 0.754, 0.786, 0.867, 0.504)",,,,,,,,,,
58,NA,0.5,OD2,"list(1410180300, 1410201000, 1410255900, 1410277500, 1410342300, 1410367500, 1410431400, 1410453900, 1410518700, 1410540300, 1410625800, 1410773400) / list(0.016, 0.023, 0.044, 0.055, 0.182, 0.28, 0.554, 0.621, 0.779, 0.832, 0.839, 0.448)",68.692,6.263,14.943,2.903,5.394,1.568,0.209,0.027,0.001,0.757244793
58,NA,0.5,OD3,"list(1410180300, 1410201000, 1410255900, 1410277500, 1410342300, 1410367500, 1410431400, 1410453900, 1410518700, 1410540300, 1410625800, 1410773400) / list(0.015, 0.021, 0.052, 0.064, 0.24, 0.36, 0.617, 0.679, 0.783, 0.799, 0.662, 0.379)",19.118,5.882,27.208,11.216,27.442,8.14,0.861,0.126,0.008,2.505237724
58,NA,0.7,OD1,"list(1408360500, 1408385700, 1408446900, 1408469400, 1408531500, 1408557600, 1408621500, 1408647600, 1408704300, 1408730400) / list(0.016, 0.024, 0.119, 0.207, 0.601, 0.737, 0.828, 0.845, 0.794, 0.599)",,,,,,,,,,
58,NA,0.7,OD2,"list(1408360500, 1408385700, 1408446900, 1408469400, 1408531500, 1408557600, 1408621500, 1408647600, 1408704300, 1408730400) / list(0.16, 0.025, 0.114, 0.21, 0.614, 0.729, 0.879, 0.886, 0.822, 0.614)",32.009,8.125,25.939,8.676,18.974,5.602,0.582,0.087,0.007,1.940890247
58,NA,0.7,OD3,"list(1408360500, 1408385700, 1408446900, 1408469400, 1408531500, 1408557600, 1408621500, 1408647600, 1408704300, 1408730400) / list(0.015, 0.022, 0.112, 0.205, 0.645, 0.732, 0.835, 0.844, 0.8, 0.618)",27.429,8.811,29.459,9.777,17.953,5.886,0.575,0.102,0.008,2.025268306
58,NA,0.9,OD1,"list(1408964400, 1408993200, 1409050800, 1409074200, 1409130900, 1409150700, 1409221800, 1409245200, 1409311800) / list(0.016, 0.027, 0.156, 0.232, 0.577, 0.678, 0.797, 0.794, 0.763)",,,,,,,,,,
58,NA,0.9,OD2,"list(1408964400, 1408993200, 1409050800, 1409074200, 1409130900, 1409150700, 1409221800, 1409245200, 1409311800) / list(0.017, 0.023, 0.152, 0.224, 0.563, 0.667, 0.793, 0.779, 0.74)",36.216,5.728,20.529,8.825,20.867,6.828,0.839,0.155,0.013,1.970908826
58,NA,0.9,OD3,"list(1408964400, 1408993200, 1409050800, 1409074200, 1409130900, 1409150700, 1409221800, 1409245200, 1409311800) / list(0.02, 0.025, 0.153, 0.235, 0.59, 0.704, 0.841, 0.834, 0.801)",59.469,6.797,18.891,4.06,7.994,2.437,0.306,0.046,0.001,1.030823656
58,NA,1.1,OD1,"list(1409584500, 1409658300, 1409678100, 1409743800, 1409767200, 1409826600, 1409847300, 1409909400, 1409932800, 1410008400, 1410171300) / list(0.007, 0.024, 0.05, 0.202, 0.252, 0.426, 0.481, 0.602, 0.628, 0.667, 0.652)",,,,,,,,,,
58,NA,1.1,OD2,"list(1409584500, 1409658300, 1409678100, 1409743800, 1409767200, 1409826600, 1409847300, 1409909400, 1409932800, 1410008400, 1410171300) / list(0.006, 0.03, 0.041, 0.179, 0.225, 0.384, 0.437, 0.549, 0.574, 0.615, 0.612)",65.451,10.697,15.104,2.9,3.938,1.588,0.275,0.045,0.003,0.752795379
58,NA,1.1,OD3,"list(1409584500, 1409658300, 1409678100, 1409743800, 1409767200, 1409826600, 1409847300, 1409909400, 1409932800, 1410008400, 1410171300) / list(0.007, 0.05, 0.053, 0.194, 0.248, 0.403, 0.454, 0.543, 0.561, 0.592, 0.591)",66.958,10.827,14.883,2.486,3.329,1.254,0.221,0.043,0,0.692576929
53,NA,0.7,OD1,"list(1412596800, 1412693100, 1412767800, 1412850600, 1412872200, 1412948700, 1412967600) / list(0.013, 0.073, 0.305, 0.713, 0.796, 0.845, 0.849)",,,,,,,,,,
53,NA,0.7,OD2,"list(1412596800, 1412693100, 1412767800, 1412850600, 1412872200, 1412948700, 1412967600) / list(0.016, 0.078, 0.329, 0.74, 0.8, 0.848, 0.857)",48.573,6.45,21.713,5.213,11.682,5.645,0.644,0.077,0.003,1.448915805
53,NA,0.7,OD3,"list(1412596800, 1412693100, 1412767800, 1412850600, 1412872200, 1412948700, 1412967600) / list(0.019, 0.072, 0.317, 0.718, 0.794, 0.841, 0.85)",40.359,6.703,24.084,6.068,14.866,7.022,0.804,0.09,0.003,1.731327361
63,NA,0.7,OD1,"list(1413199800, 1413283500, 1413304200, 1413371700, 1413392400, 1413453600, 1413478800, 1413541800, 1413565200) / list(0.019, 0.131, 0.194, 0.535, 0.618, 0.715, 0.775, 0.739, 0.7)",,,,,,,,,,
63,NA,0.7,OD2,"list(1413199800, 1413283500, 1413304200, 1413371700, 1413392400, 1413453600, 1413478800, 1413541800, 1413565200) / list(0.023, 0.128, 0.198, 0.543, 628, 0.738, 0.791, 0.755, 0.676)",36.666,7.831,21.885,8.157,16.956,7.219,1.065,0.207,0.013,1.879350378
63,NA,0.7,OD3,"list(1413199800, 1413283500, 1413304200, 1413371700, 1413392400, 1413453600, 1413478800, 1413541800, 1413565200) / list(0.019, 0.105, 0.161, 0.468, 0.553, 0.657, 0.725, 0.77, 0.756)",26.365,7.341,25.87,10.586,19.422,9.019,1.186,0.199,0.011,2.222246983
