ID,Temp,RPM,pH,Replicate,GrowthCurves,LipidPeaks,Rate,SacrificeOD,Experiment,GDGT.0,GDGT.1,GDGT.2,GDGT.3,GDGT.3.iso,GDGT.4,GDGT.4.iso,GDGT.5,GDGT.5.iso,GDGT.6,GDGT.7,GDGT.8,RI,Phase,GDGT.0.Normalized,GDGT.1.Normalized,GDGT.2.Normalized,GDGT.3.Normalized,GDGT.3.iso.Normalized,GDGT.4.Normalized,GDGT.4.iso.Normalized,GDGT.5.Normalized,GDGT.5.iso.Normalized,GDGT.6.Normalized,GDGT.7.Normalized,GDGT.8.Normalized
1,70,0.2,3,1,"list(1547676060.452, 1547722636.539, 1547743288.298, 1547803729.765, 1547829820.662, 1547912038.651, 1547927065.516, 1547987273.951, 1548006263.632, 1548064212.093, 1548069697.795, 1548150968.438, 1548177237.575, 1548238619.001, 1548257282.792, 1548274631.092, 1548322857.65, 1548349554.956) / list(0.029, 0.033, 0.035, 0.047, 0.05, 0.05, 0.064, 0.072, 0.073, 0.079, 0.079, 0.083, 0.08, 0.081, 0.066, 0.076, 0.075, 0.078)",NA,0.008093177,,1,345799.9098,977693.8868,2882305.706,6320555.41,397115.407,10059480.61,646628.073,1893153.664,14681.96936,76650.78465,0,0,3.375904739,ES,0.014643811,0.041403031,0.122058852,0.267660621,0.016816901,0.425995288,0.027383174,0.080170595,0.000621747,0.00324598,0,0
1,70,0.2,3,2,"list(1547676060.452, 1547722636.539, 1547743288.298, 1547803729.765, 1547829820.662, 1547912038.651, 1547927065.516, 1547987273.951, 1548006263.632, 1548064212.093, 1548069697.795, 1548150968.438, 1548177237.575, 1548238619.001, 1548257282.792, 1548274631.092, 1548322857.65, 1548349554.956) / list(0.026, 0.025, 0.031, 0.045, 0.047, 0.051, 0.065, 0.073, 0.075, 0.08, 0.08, 0.082, 0.083, 0.083, 0.077, 0.082, 0.084, 0.081)",NA,0.012736962,,1,451643.9072,1303495.58,3472035.771,6834195.511,1103482.235,13066531.54,389350.9152,1796766.935,12292.27726,55588.25771,0,0,3.344275063,ES,0.015855286,0.045760156,0.121888331,0.239919383,0.038738543,0.458710054,0.013668446,0.063076805,0.000431529,0.001951466,0,0
1,70,0.2,3,3,"list(1547676060.452, 1547722636.539, 1547743288.298, 1547803729.765, 1547829820.662, 1547912038.651, 1547927065.516, 1547987273.951, 1548006263.632, 1548064212.093, 1548069697.795, 1548150968.438, 1548177237.575, 1548238619.001, 1548257282.792, 1548274631.092, 1548322857.65, 1548349554.956) / list(0.031, 0.023, 0.028, 0.041, 0.048, 0.048, 0.063, 0.073, 0.073, 0.077, 0.074, 0.08, 0.078, 0.078, 0.072, 0.073, 0.074, 0.073)",NA,0.013678078,,1,83211.54271,233652.4341,773365.3698,1720785.17,310559.3241,3608092.033,179624.322,595924.5299,5719.938602,22870.16688,0,0,3.473772683,ES,0.011045089,0.031013869,0.102652695,0.228408514,0.041222109,0.478920295,0.023842444,0.079100075,0.000759236,0.003035673,0,0
2,70,0.2,3,1,"list(1547676060.452, 1547722636.539, 1547743288.298, 1547803729.765, 1547829820.662, 1547912038.651, 1547927065.516, 1547987273.951, 1548006263.632, 1548064212.093, 1548069697.795, 1548150968.438, 1548177237.575, 1548238619.001, 1548257282.792, 1548274631.092, 1548322857.65, 1548349554.956) / list(0.029, 0.033, 0.035, 0.047, 0.05, 0.05, 0.064, 0.072, 0.073, 0.079, 0.079, 0.083, 0.08, 0.081, 0.066, 0.076, 0.075, 0.078)",NA,0.008093177,,1,324018.5366,939488.5331,2785448.995,5491249.597,346823.7206,6642080.145,277067.2971,813590.5603,14046.1079,32929.97301,0,0,3.171889575,LL,0.018340592,0.053178365,0.157666239,0.310824098,0.019631446,0.375965166,0.015682986,0.046052096,0.000795059,0.001863953,0,0
2,70,0.2,3,2,"list(1547676060.452, 1547722636.539, 1547743288.298, 1547803729.765, 1547829820.662, 1547912038.651, 1547927065.516, 1547987273.951, 1548006263.632, 1548064212.093, 1548069697.795, 1548150968.438, 1548177237.575, 1548238619.001, 1548257282.792, 1548274631.092, 1548322857.65, 1548349554.956) / list(0.026, 0.025, 0.031, 0.045, 0.047, 0.051, 0.065, 0.073, 0.075, 0.08, 0.08, 0.082, 0.083, 0.083, 0.077, 0.082, 0.084, 0.081)",NA,0.012736962,,1,302411.2185,862574.2194,2211656.912,3478728.063,334812.1267,4786215.573,166753.2715,501285.0934,7099.543975,18444.20705,0,0,3.093214963,LL,0.023868326,0.068080155,0.174558829,0.274564601,0.026425623,0.377760303,0.013161289,0.039564789,0.000560344,0.001455741,0,0
2,70,0.2,3,3,"list(1547676060.452, 1547722636.539, 1547743288.298, 1547803729.765, 1547829820.662, 1547912038.651, 1547927065.516, 1547987273.951, 1548006263.632, 1548064212.093, 1548069697.795, 1548150968.438, 1548177237.575, 1548238619.001, 1548257282.792, 1548274631.092, 1548322857.65, 1548349554.956) / list(0.031, 0.023, 0.028, 0.041, 0.048, 0.048, 0.063, 0.073, 0.073, 0.077, 0.074, 0.08, 0.078, 0.078, 0.072, 0.073, 0.074, 0.073)",NA,0.013678078,,1,157165.108,479887.2008,1477247.169,2669307.852,258211.6198,3471744.061,201339.6046,391455.8746,8623.741526,17312.04916,0,0,3.177026944,LL,0.017209816,0.052548372,0.161760793,0.292293237,0.028274562,0.380161212,0.02204699,0.042865009,0.000944313,0.001895695,0,0
3,70,0.22,3,1,"list(1571424053.722, 1571486188.105, 1571576954.362, 1571649365.07, 1571675596.794, 1571758611.788, 1571823104.635, 1571857916.087, 1571934430.197, 1571996975.666, 1572009216.88, 1571738100) / list(0.02, 0.016, 0.033, 0.035, 0.037, 0.047, 0.046, 0.057, 0.056, 0.056, 0.057, 0.049)",NA,0.010530852,0.049,1,252708.0575,682365.9353,1631518.582,2355742.723,3114627.719,325417.7801,386297.6759,1110873.638,16360.7014,63152.26501,0,0,2.939759556,ES,0.025425737,0.068654942,0.164152118,0.237018543,0.313372304,0.032741287,0.038866601,0.111768424,0.001646101,0.006353944,0,0
3,70,0.22,3,2,"list(1571424053.722, 1571486188.105, 1571576954.362, 1571649365.07, 1571675596.794, 1571758611.788, 1571823104.635, 1571857916.087, 1571934430.197, 1571996975.666, 1572009216.88, 1571738100) / list(0.018, 0.017, 0.033, 0.035, 0.037, 0.047, 0.045, 0.056, 0.056, 0.057, 0.058, 0.049)",NA,0.009838645,0.049,1,625140.577,1666077.39,3906163.939,5118185.976,4354527.194,915217.2502,789232.5927,1515588.649,25336.35088,71019.64302,0,0,2.783299505,ES,0.032925548,0.087750681,0.205733868,0.269569894,0.229348726,0.048203605,0.041568116,0.079824585,0.001334441,0.003740536,0,0
4,70,0.22,3,1,"list(1571424053.722, 1571486188.105, 1571576954.362, 1571649365.07, 1571675596.794, 1571758611.788, 1571823104.635, 1571857916.087, 1571934430.197, 1571996975.666, 1572009216.88, 1571738100) / list(0.02, 0.016, 0.033, 0.035, 0.037, 0.047, 0.046, 0.057, 0.056, 0.056, 0.057, 0.049)",NA,0.010530852,0.049,1,81480.27399,200047.6376,478179.9547,645605.0109,541255.4416,39810.08791,57921.79525,112186.9775,1795.941338,6495.043634,0,0,2.640825461,LL,0.037639087,0.092410225,0.220890973,0.298231487,0.250028132,0.018389916,0.026756458,0.051823775,0.000829619,0.003000328,0,0
4,70,0.22,3,2,"list(1571424053.722, 1571486188.105, 1571576954.362, 1571649365.07, 1571675596.794, 1571758611.788, 1571823104.635, 1571857916.087, 1571934430.197, 1571996975.666, 1572009216.88, 1571738100) / list(0.018, 0.017, 0.033, 0.035, 0.037, 0.047, 0.045, 0.056, 0.056, 0.057, 0.058, 0.049)",NA,0.009838645,0.049,1,111773.424,314776.6295,684983.3149,713270.4268,487375.1436,39206.80334,60406.41602,89727.99329,1309.723423,4655.804381,0,0,2.459936784,LL,0.044575897,0.125534767,0.273175365,0.284456431,0.194368067,0.015635903,0.024090433,0.03578405,0.000522325,0.001856762,0,0
